id,product_unit_id,event_id,risk_score,reason,feature_values,model_version,created_at
131,18,235,84.56,Duplicate unit ID detected across regions,"{""gps_deviation_km"":116.6,""packaging_hash_similarity"":0.09,""custody_gap_count"":5,""time_since_last_event_hrs"":364.7,""label_print_delta_days"":-19}",prov-risk-v2.0.0-beta,2024-09-05 03:06:26+00
132,190,114,94.17,QR code resolution anomaly detected,"{""supplier_risk_tier"":""low"",""scan_velocity_kmh"":128.95}",prov-risk-v2.0.1,2026-01-20 23:23:26+00
133,29,,0.58,Batch code does not match registered production run,"{""packaging_hash_similarity"":0.324,""label_print_delta_days"":-14,""gps_deviation_km"":195.02,""checksum_valid"":false}",prov-risk-v2.0.0-beta,2025-08-12 18:13:52+00
134,87,74,89.22,Anomalous reseller account activity,"{""scan_velocity_kmh"":38.89,""time_since_last_event_hrs"":445.4,""checksum_valid"":false}",prov-risk-v2.1.0,2024-08-05 02:44:03+00
135,229,198,62.84,Anomalous reseller account activity,"{""temp_excursion_c"":314.09,""checksum_valid"":true,""label_print_delta_days"":-9,""scan_velocity_kmh"":110.83}",prov-risk-v1.0.0,2024-10-06 23:49:18+00
136,232,75,14.94,Cross-border movement without customs event,"{""checksum_valid"":false,""time_since_last_event_hrs"":240.8,""scan_velocity_kmh"":83.9,""supplier_risk_tier"":""medium"",""custody_gap_count"":0}",prov-risk-v1.2.0,2025-12-09 15:47:47+00
137,248,,5.69,Batch code does not match registered production run,"{""custody_gap_count"":2,""gps_deviation_km"":216.03,""packaging_hash_similarity"":0.262,""reseller_risk_score"":0.239,""supplier_risk_tier"":""low""}",prov-risk-v1.0.0,2025-08-29 01:40:13+00
138,149,84,72.65,Packaging hash does not match reference image,"{""scan_velocity_kmh"":255.39,""label_print_delta_days"":-2,""temp_excursion_c"":0.96}",,2026-03-29 00:34:26+00
139,147,223,40.89,Unit re-entered supply chain after terminal event,"{""time_since_last_event_hrs"":512.4,""packaging_hash_similarity"":0.197,""checksum_valid"":true}",,2024-05-15 19:17:29+00
140,254,90,61.24,Batch code does not match registered production run,"{""checksum_valid"":false,""scan_velocity_kmh"":420.53,""gps_deviation_km"":458.12,""temp_excursion_c"":259.23}",prov-risk-v1.2.0,2025-06-04 17:53:06+00
141,145,253,40.95,Label print date precedes factory commission date,"{""custody_gap_count"":4,""checksum_valid"":false,""time_since_last_event_hrs"":26.4}",prov-risk-v2.1.0,2025-07-30 14:02:46+00
142,295,3,93.21,RFID tag read at two distant locations simultaneously,"{""gps_deviation_km"":357.29,""temp_excursion_c"":408.27}",,2025-05-13 14:57:22+00
143,196,32,10.77,Label print date precedes factory commission date,"{""supplier_risk_tier"":""low"",""scan_velocity_kmh"":111.85,""time_since_last_event_hrs"":131.3,""packaging_hash_similarity"":0.103,""gps_deviation_km"":125.23}",,2024-02-16 17:13:24+00
144,10,,19.51,Unusual gap between manufacture and first scan event,"{""supplier_risk_tier"":""low"",""checksum_valid"":true,""label_print_delta_days"":-28,""scan_velocity_kmh"":136.51,""time_since_last_event_hrs"":334.7}",prov-risk-v2.0.1,2026-02-16 21:31:10+00
145,144,,88.44,Weight variance outside tolerance for declared SKU,"{""checksum_valid"":false,""time_since_last_event_hrs"":118.3,""label_print_delta_days"":22}",prov-risk-v1.0.0,2025-08-26 21:27:16+00
146,216,270,97.05,Serial number checksum mismatch,"{""temp_excursion_c"":167.54,""reseller_risk_score"":0.436,""checksum_valid"":false,""supplier_risk_tier"":""medium""}",,2026-05-21 14:36:19+00
147,28,76,93.43,Temperature excursion detected during transit,"{""scan_velocity_kmh"":34.63,""temp_excursion_c"":216.52,""gps_deviation_km"":252.39,""custody_gap_count"":0,""label_print_delta_days"":-16}",prov-risk-v1.1.2,2025-10-15 13:52:31+00
148,204,233,80.93,Serial number checksum mismatch,"{""packaging_hash_similarity"":0.918,""custody_gap_count"":4}",prov-risk-v1.2.0,2026-09-02 22:49:59+00
149,278,19,25.06,RFID tag read at two distant locations simultaneously,"{""reseller_risk_score"":0.951,""checksum_valid"":false}",prov-risk-v1.0.0,2025-04-19 10:34:30+00
150,178,62,95.91,RFID tag read at two distant locations simultaneously,"{""gps_deviation_km"":61.96,""label_print_delta_days"":-22,""time_since_last_event_hrs"":637.3,""checksum_valid"":false}",prov-risk-v2.0.1,2025-03-23 20:52:10+00
151,141,45,28.72,Anomalous reseller account activity,"{""reseller_risk_score"":0.461,""checksum_valid"":false,""temp_excursion_c"":306.4}",prov-risk-v2.0.0-beta,2025-04-27 08:26:54+00
152,16,114,54.59,Origin country mismatch with declared manufacturer,"{""scan_velocity_kmh"":161.98,""temp_excursion_c"":162.74,""time_since_last_event_hrs"":194.3,""reseller_risk_score"":0.878,""gps_deviation_km"":108.07}",prov-risk-v1.0.0,2024-02-03 20:14:00+00
153,82,179,6.2,Certificate of authenticity signature invalid,"{""temp_excursion_c"":466.98,""gps_deviation_km"":208.38,""checksum_valid"":false,""packaging_hash_similarity"":0.14,""reseller_risk_score"":0.202}",prov-risk-v2.0.1,2025-03-05 21:53:37+00
154,266,,92.2,Label print date precedes factory commission date,"{""time_since_last_event_hrs"":295.5,""reseller_risk_score"":0.55,""gps_deviation_km"":58.72,""scan_velocity_kmh"":198.75}",prov-risk-v2.0.1,2024-08-20 10:43:34+00
155,214,144,60.73,Certificate of authenticity signature invalid,"{""label_print_delta_days"":-5,""custody_gap_count"":4,""temp_excursion_c"":277.68,""time_since_last_event_hrs"":276.8,""reseller_risk_score"":0.322}",,2026-02-15 00:34:00+00
156,195,95,80.3,Cross-border movement without customs event,"{""packaging_hash_similarity"":0.324,""checksum_valid"":true,""gps_deviation_km"":479.38,""reseller_risk_score"":0.204,""time_since_last_event_hrs"":307.0}",prov-risk-v1.0.0,2024-02-09 17:30:49+00
157,25,255,53.64,Packaging hash does not match reference image,"{""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.041,""reseller_risk_score"":0.676,""checksum_valid"":false,""label_print_delta_days"":30}",prov-risk-v1.0.0,2024-04-16 01:15:09+00
158,269,210,40.09,Weight variance outside tolerance for declared SKU,"{""checksum_valid"":false,""reseller_risk_score"":0.44,""label_print_delta_days"":9}",prov-risk-v2.0.1,2025-06-17 06:23:38+00
159,272,48,31.81,Duplicate unit ID detected across regions,"{""supplier_risk_tier"":""medium"",""time_since_last_event_hrs"":496.7,""gps_deviation_km"":410.28,""temp_excursion_c"":495.12}",prov-risk-v2.0.0-beta,2026-09-07 09:09:37+00
160,81,262,89.31,Cross-border movement without customs event,"{""scan_velocity_kmh"":284.93,""gps_deviation_km"":315.66,""temp_excursion_c"":361.43}",prov-risk-v2.1.0,2025-10-01 02:45:39+00
161,6,158,55.29,Packaging hash does not match reference image,"{""gps_deviation_km"":248.93,""scan_velocity_kmh"":276.62,""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.871,""reseller_risk_score"":0.896}",prov-risk-v2.0.1,2024-08-11 06:10:38+00
162,295,63,51.84,RFID tag read at two distant locations simultaneously,"{""scan_velocity_kmh"":38.07,""gps_deviation_km"":473.92}",prov-risk-v2.0.0-beta,2025-12-27 06:19:10+00
163,221,32,68.46,Origin country mismatch with declared manufacturer,"{""time_since_last_event_hrs"":122.0,""checksum_valid"":false,""temp_excursion_c"":314.35,""packaging_hash_similarity"":0.859}",prov-risk-v2.0.1,2024-04-07 21:39:02+00
164,179,198,,Temperature excursion detected during transit,"{""packaging_hash_similarity"":0.238,""scan_velocity_kmh"":111.45,""label_print_delta_days"":-20,""supplier_risk_tier"":""high"",""custody_gap_count"":6}",prov-risk-v1.1.2,2025-05-04 00:21:08+00
165,4,234,60.26,Label print date precedes factory commission date,"{""checksum_valid"":true,""reseller_risk_score"":0.413}",prov-risk-v2.0.0-beta,2026-01-22 11:21:09+00
166,12,125,16.99,Certificate of authenticity signature invalid,"{""scan_velocity_kmh"":280.77,""custody_gap_count"":0,""reseller_risk_score"":0.335}",,2025-08-22 00:06:44+00
167,172,34,42.23,QR code resolution anomaly detected,"{""reseller_risk_score"":0.284,""checksum_valid"":true,""label_print_delta_days"":-3}",prov-risk-v1.0.0,2025-03-09 14:49:36+00
168,13,80,12.99,Batch code does not match registered production run,"{""supplier_risk_tier"":""low"",""time_since_last_event_hrs"":114.6,""label_print_delta_days"":-8,""checksum_valid"":true}",prov-risk-v2.1.0,2025-09-21 09:09:53+00
169,193,298,95.09,RFID tag read at two distant locations simultaneously,"{""checksum_valid"":false,""label_print_delta_days"":8,""time_since_last_event_hrs"":647.7}",prov-risk-v2.0.1,2025-07-25 15:52:32+00
170,274,262,87.24,GPS location inconsistent with declared origin,"{""supplier_risk_tier"":""high"",""custody_gap_count"":6}",,2025-08-20 19:02:29+00
171,15,291,1.5,Duplicate unit ID detected across regions,"{""checksum_valid"":true,""temp_excursion_c"":34.04,""packaging_hash_similarity"":0.914}",,2026-02-16 06:58:47+00
172,153,160,28.86,Certificate of authenticity signature invalid,"{""temp_excursion_c"":314.02,""reseller_risk_score"":0.629,""label_print_delta_days"":25,""supplier_risk_tier"":""low""}",prov-risk-v1.2.0,2024-10-01 00:25:26+00
173,16,180,2.53,Anomalous reseller account activity,"{""reseller_risk_score"":0.182,""temp_excursion_c"":57.62,""gps_deviation_km"":456.34}",prov-risk-v2.1.0,2024-12-06 12:03:54+00
174,21,83,75.7,Scan velocity exceeds physically plausible threshold,"{""scan_velocity_kmh"":470.78,""supplier_risk_tier"":""high"",""custody_gap_count"":6,""temp_excursion_c"":113.83,""reseller_risk_score"":0.498}",prov-risk-v2.0.1,2025-01-30 16:14:35+00
175,223,295,0.1,Packaging hash does not match reference image,"{""packaging_hash_similarity"":0.974,""scan_velocity_kmh"":340.53}",prov-risk-v1.0.0,2025-05-09 20:27:24+00
176,108,177,8.61,Certificate of authenticity signature invalid,"{""custody_gap_count"":2,""supplier_risk_tier"":""medium"",""gps_deviation_km"":221.28}",prov-risk-v1.2.0,2026-02-20 11:59:10+00
177,232,106,51.19,Scan velocity exceeds physically plausible threshold,"{""checksum_valid"":true,""scan_velocity_kmh"":484.71,""custody_gap_count"":5,""gps_deviation_km"":118.0,""label_print_delta_days"":-14}",prov-risk-v1.1.2,2024-04-02 05:57:45+00
178,87,211,63.65,Scan velocity exceeds physically plausible threshold,"{""label_print_delta_days"":15,""packaging_hash_similarity"":0.242,""checksum_valid"":false}",prov-risk-v1.1.2,2025-06-29 23:25:01+00
179,154,,58.76,Temperature excursion detected during transit,"{""gps_deviation_km"":470.61,""supplier_risk_tier"":""high"",""reseller_risk_score"":0.667,""label_print_delta_days"":8}",prov-risk-v2.0.0-beta,2025-09-22 20:27:43+00
180,106,,36.05,Batch code does not match registered production run,"{""scan_velocity_kmh"":151.95,""custody_gap_count"":0}",prov-risk-v2.1.0,2025-04-24 21:14:50+00
181,230,83,46.87,QR code resolution anomaly detected,"{""time_since_last_event_hrs"":7.8,""supplier_risk_tier"":""medium"",""gps_deviation_km"":41.99,""scan_velocity_kmh"":358.57}",prov-risk-v2.1.0,2026-05-25 14:31:18+00
182,136,,43.42,Batch code does not match registered production run,"{""scan_velocity_kmh"":142.99,""temp_excursion_c"":306.68,""gps_deviation_km"":365.32,""supplier_risk_tier"":""high""}",prov-risk-v1.2.0,2025-01-17 03:06:55+00
183,41,,,Certificate of authenticity signature invalid,"{""custody_gap_count"":5,""temp_excursion_c"":262.72,""time_since_last_event_hrs"":644.8}",prov-risk-v2.1.0,2024-09-18 16:36:45+00
184,53,159,32.67,Missing intermediate custody event,"{""temp_excursion_c"":275.57,""checksum_valid"":false,""packaging_hash_similarity"":0.838,""gps_deviation_km"":126.77}",prov-risk-v1.0.0,2024-03-05 02:01:22+00
185,55,207,94.49,Label print date precedes factory commission date,"{""label_print_delta_days"":10,""time_since_last_event_hrs"":57.8,""custody_gap_count"":5,""packaging_hash_similarity"":0.227,""reseller_risk_score"":0.138}",prov-risk-v2.1.0,2025-09-15 12:44:26+00
186,46,226,21.83,QR code resolution anomaly detected,"{""scan_velocity_kmh"":212.72,""supplier_risk_tier"":""medium""}",prov-risk-v1.0.0,2024-03-26 21:40:07+00
187,264,174,0.88,Missing intermediate custody event,"{""reseller_risk_score"":0.443,""custody_gap_count"":4,""scan_velocity_kmh"":337.63}",prov-risk-v2.0.1,2024-10-30 13:37:53+00
188,241,,46.05,Weight variance outside tolerance for declared SKU,"{""reseller_risk_score"":0.723,""gps_deviation_km"":165.77,""scan_velocity_kmh"":329.22}",prov-risk-v2.0.1,2026-06-06 05:05:55+00
189,216,247,13.69,Supplier flagged for prior counterfeiting incident,"{""checksum_valid"":false,""packaging_hash_similarity"":0.691}",prov-risk-v1.1.2,2026-06-18 13:21:00+00
190,191,214,24.02,Anomalous reseller account activity,"{""custody_gap_count"":4,""gps_deviation_km"":374.92,""checksum_valid"":true,""supplier_risk_tier"":""medium"",""reseller_risk_score"":0.65}",prov-risk-v1.1.2,2026-04-04 12:45:42+00
191,129,117,22.66,Origin country mismatch with declared manufacturer,"{""supplier_risk_tier"":""medium"",""gps_deviation_km"":339.75}",,2025-11-13 18:46:06+00
192,69,282,83.85,GPS location inconsistent with declared origin,"{""label_print_delta_days"":4,""reseller_risk_score"":0.171}",prov-risk-v1.1.2,2026-05-24 15:24:24+00
193,244,71,61.88,Certificate of authenticity signature invalid,"{""scan_velocity_kmh"":7.59,""temp_excursion_c"":297.15,""packaging_hash_similarity"":0.213}",prov-risk-v1.2.0,2024-07-06 05:58:09+00
194,70,45,87.21,Origin country mismatch with declared manufacturer,"{""temp_excursion_c"":183.49,""time_since_last_event_hrs"":605.9}",,2024-01-19 02:13:54+00
195,131,,73.72,QR code resolution anomaly detected,"{""scan_velocity_kmh"":163.68,""temp_excursion_c"":301.53,""gps_deviation_km"":17.07,""time_since_last_event_hrs"":655.4,""custody_gap_count"":1}",prov-risk-v1.2.0,2025-07-04 11:16:54+00
196,99,11,58.14,GPS location inconsistent with declared origin,"{""label_print_delta_days"":-26,""gps_deviation_km"":400.35}",prov-risk-v1.1.2,2024-08-21 09:31:57+00
197,284,195,58.83,Unit re-entered supply chain after terminal event,"{""label_print_delta_days"":-21,""scan_velocity_kmh"":243.59,""supplier_risk_tier"":""medium"",""time_since_last_event_hrs"":628.6}",,2024-02-25 02:00:09+00
198,39,201,96.75,Anomalous reseller account activity,"{""checksum_valid"":true,""supplier_risk_tier"":""medium"",""gps_deviation_km"":446.99,""time_since_last_event_hrs"":424.2,""reseller_risk_score"":0.044}",prov-risk-v1.1.2,2025-07-14 18:30:02+00
199,240,240,35.37,Unusual gap between manufacture and first scan event,"{""packaging_hash_similarity"":0.021,""label_print_delta_days"":-1,""temp_excursion_c"":438.14,""gps_deviation_km"":304.33}",prov-risk-v2.1.0,2024-08-14 12:53:12+00
200,74,140,99.14,QR code resolution anomaly detected,"{""scan_velocity_kmh"":436.19,""supplier_risk_tier"":""medium"",""gps_deviation_km"":316.55}",prov-risk-v2.1.0,2024-06-02 18:42:38+00
201,186,122,93.86,Duplicate unit ID detected across regions,"{""temp_excursion_c"":436.43,""packaging_hash_similarity"":0.716,""checksum_valid"":false,""time_since_last_event_hrs"":43.5}",prov-risk-v1.2.0,2025-05-17 01:46:07+00
202,247,125,99.66,Scan velocity exceeds physically plausible threshold,"{""checksum_valid"":false,""scan_velocity_kmh"":222.76,""label_print_delta_days"":6}",,2025-04-14 18:40:08+00
203,87,74,30.85,Origin country mismatch with declared manufacturer,"{""gps_deviation_km"":89.37,""checksum_valid"":false,""packaging_hash_similarity"":0.987,""custody_gap_count"":2}",,2025-10-27 07:03:08+00
204,35,164,27.59,Unit re-entered supply chain after terminal event,"{""time_since_last_event_hrs"":170.6,""custody_gap_count"":0}",prov-risk-v1.1.2,2024-03-15 02:10:28+00
205,205,145,64.81,Batch code does not match registered production run,"{""scan_velocity_kmh"":39.65,""time_since_last_event_hrs"":582.8,""packaging_hash_similarity"":0.876}",prov-risk-v1.2.0,2024-07-31 07:15:20+00
206,3,275,1.5,Supplier flagged for prior counterfeiting incident,"{""checksum_valid"":false,""temp_excursion_c"":433.87}",prov-risk-v1.0.0,2026-01-25 11:28:44+00
207,208,173,86.33,Serial number checksum mismatch,"{""packaging_hash_similarity"":0.776,""temp_excursion_c"":493.91}",prov-risk-v2.0.0-beta,2025-02-03 06:18:07+00
208,238,14,56.41,Supplier flagged for prior counterfeiting incident,"{""reseller_risk_score"":0.157,""temp_excursion_c"":9.3}",prov-risk-v1.1.2,2024-08-09 14:40:38+00
209,272,47,36.17,QR code resolution anomaly detected,"{""packaging_hash_similarity"":0.741,""temp_excursion_c"":128.92,""checksum_valid"":false}",,2024-02-19 03:22:30+00
210,159,282,45.32,Unit re-entered supply chain after terminal event,"{""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.009,""custody_gap_count"":3,""gps_deviation_km"":49.9}",,2025-07-17 02:56:06+00
211,78,117,97.91,Unusual gap between manufacture and first scan event,"{""gps_deviation_km"":277.62,""scan_velocity_kmh"":90.91,""checksum_valid"":false}",prov-risk-v2.1.0,2024-08-19 22:52:48+00
212,91,83,35.08,Temperature excursion detected during transit,"{""label_print_delta_days"":-1,""checksum_valid"":true,""temp_excursion_c"":161.92,""reseller_risk_score"":0.904,""supplier_risk_tier"":""low""}",prov-risk-v2.1.0,2024-01-24 23:30:50+00
213,34,206,35.07,Temperature excursion detected during transit,"{""reseller_risk_score"":0.021,""packaging_hash_similarity"":0.709,""checksum_valid"":true,""scan_velocity_kmh"":115.69,""time_since_last_event_hrs"":146.3}",,2025-10-23 03:52:55+00
214,143,256,56.95,Missing intermediate custody event,"{""custody_gap_count"":2,""time_since_last_event_hrs"":2.8,""packaging_hash_similarity"":0.872,""supplier_risk_tier"":""low"",""scan_velocity_kmh"":80.8}",prov-risk-v2.1.0,2026-08-05 23:58:22+00
215,232,27,20.98,QR code resolution anomaly detected,"{""label_print_delta_days"":-3,""time_since_last_event_hrs"":622.1}",prov-risk-v1.2.0,2024-02-07 22:35:47+00
216,58,5,30.27,RFID tag read at two distant locations simultaneously,"{""gps_deviation_km"":198.59,""time_since_last_event_hrs"":298.2,""label_print_delta_days"":11,""temp_excursion_c"":459.25}",prov-risk-v2.1.0,2025-09-08 05:07:13+00
217,172,17,20.14,Unusual gap between manufacture and first scan event,"{""time_since_last_event_hrs"":428.5,""supplier_risk_tier"":""high""}",prov-risk-v2.0.0-beta,2024-06-11 21:46:31+00
218,11,,6.46,GPS location inconsistent with declared origin,"{""label_print_delta_days"":3,""time_since_last_event_hrs"":308.5}",prov-risk-v1.1.2,2024-12-13 20:03:18+00
219,277,,50.07,GPS location inconsistent with declared origin,"{""label_print_delta_days"":24,""gps_deviation_km"":483.75,""temp_excursion_c"":441.58,""supplier_risk_tier"":""high""}",prov-risk-v1.0.0,2025-02-28 01:09:56+00
220,91,,96.63,Batch code does not match registered production run,"{""reseller_risk_score"":0.952,""supplier_risk_tier"":""medium""}",prov-risk-v1.0.0,2025-05-20 23:25:17+00
221,22,279,33.08,Cross-border movement without customs event,"{""reseller_risk_score"":0.419,""packaging_hash_similarity"":0.973,""temp_excursion_c"":193.54,""custody_gap_count"":3}",prov-risk-v2.0.0-beta,2024-08-10 05:21:00+00
222,3,257,25.47,Model version confidence below acceptance threshold,"{""checksum_valid"":true,""packaging_hash_similarity"":0.909,""gps_deviation_km"":24.76,""scan_velocity_kmh"":347.09,""custody_gap_count"":2}",prov-risk-v2.1.0,2025-11-18 06:51:10+00
223,282,234,0.09,Label print date precedes factory commission date,"{""packaging_hash_similarity"":0.825,""supplier_risk_tier"":""high"",""reseller_risk_score"":0.869,""gps_deviation_km"":177.6}",prov-risk-v1.0.0,2025-09-03 07:37:58+00
224,270,165,79.73,Temperature excursion detected during transit,"{""custody_gap_count"":4,""label_print_delta_days"":0,""temp_excursion_c"":285.35,""packaging_hash_similarity"":0.999}",prov-risk-v1.0.0,2026-04-01 09:13:05+00
225,187,271,36.58,Missing intermediate custody event,"{""label_print_delta_days"":-10,""time_since_last_event_hrs"":274.5,""scan_velocity_kmh"":416.06}",,2025-10-26 23:17:27+00
226,63,129,36.48,RFID tag read at two distant locations simultaneously,"{""label_print_delta_days"":-12,""gps_deviation_km"":498.48,""custody_gap_count"":5,""checksum_valid"":true}",prov-risk-v2.0.0-beta,2026-01-13 01:48:25+00
227,90,77,,Scan velocity exceeds physically plausible threshold,"{""label_print_delta_days"":-7,""supplier_risk_tier"":""high"",""checksum_valid"":false,""custody_gap_count"":6}",prov-risk-v2.0.0-beta,2025-01-27 19:32:04+00
228,10,1,5.77,Missing intermediate custody event,"{""supplier_risk_tier"":""low"",""custody_gap_count"":2,""temp_excursion_c"":417.07,""time_since_last_event_hrs"":65.8}",prov-risk-v2.1.0,2026-02-05 10:57:36+00
229,46,217,29.05,QR code resolution anomaly detected,"{""label_print_delta_days"":-7,""reseller_risk_score"":0.042}",,2025-04-03 15:35:32+00
230,209,132,38.54,Origin country mismatch with declared manufacturer,"{""packaging_hash_similarity"":0.063,""checksum_valid"":true,""temp_excursion_c"":164.73}",prov-risk-v1.0.0,2024-05-04 04:20:41+00
231,229,270,93.57,Unusual gap between manufacture and first scan event,"{""packaging_hash_similarity"":0.935,""label_print_delta_days"":14}",,2025-11-08 11:44:38+00
232,213,91,43.98,Label print date precedes factory commission date,"{""supplier_risk_tier"":""high"",""scan_velocity_kmh"":100.12,""checksum_valid"":true}",prov-risk-v2.1.0,2025-04-01 16:24:57+00
233,284,199,11.81,Temperature excursion detected during transit,"{""packaging_hash_similarity"":0.102,""scan_velocity_kmh"":44.13}",,2024-11-30 23:29:57+00
234,289,103,48.28,Serial number checksum mismatch,"{""packaging_hash_similarity"":0.872,""time_since_last_event_hrs"":104.8,""reseller_risk_score"":0.334,""label_print_delta_days"":3,""scan_velocity_kmh"":491.11}",prov-risk-v1.1.2,2026-04-17 03:05:09+00
235,141,45,25.5,Packaging hash does not match reference image,"{""supplier_risk_tier"":""low"",""reseller_risk_score"":0.867,""scan_velocity_kmh"":400.99,""time_since_last_event_hrs"":616.8,""packaging_hash_similarity"":0.257}",prov-risk-v1.1.2,2024-07-23 16:00:11+00
236,27,192,65.63,Origin country mismatch with declared manufacturer,"{""temp_excursion_c"":228.22,""packaging_hash_similarity"":0.707,""checksum_valid"":true}",prov-risk-v2.1.0,2025-05-03 04:42:29+00
237,5,210,82.34,Serial number checksum mismatch,"{""checksum_valid"":true,""label_print_delta_days"":21,""custody_gap_count"":4,""gps_deviation_km"":305.36}",prov-risk-v2.0.0-beta,2025-11-22 02:21:37+00
238,105,30,85.81,GPS location inconsistent with declared origin,"{""time_since_last_event_hrs"":586.3,""gps_deviation_km"":248.57}",prov-risk-v1.0.0,2026-05-21 13:48:32+00
239,85,151,53.44,Missing intermediate custody event,"{""checksum_valid"":false,""supplier_risk_tier"":""low"",""gps_deviation_km"":100.81}",prov-risk-v1.0.0,2024-03-19 03:43:19+00
240,213,132,44.24,Cross-border movement without customs event,"{""scan_velocity_kmh"":80.07,""time_since_last_event_hrs"":321.3,""packaging_hash_similarity"":0.758}",,2026-06-23 04:37:28+00
241,164,79,25.8,Weight variance outside tolerance for declared SKU,"{""time_since_last_event_hrs"":701.4,""checksum_valid"":false,""reseller_risk_score"":0.38}",prov-risk-v2.1.0,2025-03-28 03:30:58+00
242,115,48,14.89,Missing intermediate custody event,"{""temp_excursion_c"":61.06,""reseller_risk_score"":0.923,""gps_deviation_km"":498.06,""scan_velocity_kmh"":469.71,""time_since_last_event_hrs"":379.0}",prov-risk-v1.2.0,2026-01-31 01:23:16+00
243,179,,88.94,Duplicate unit ID detected across regions,"{""label_print_delta_days"":8,""custody_gap_count"":4,""supplier_risk_tier"":""high""}",,2024-05-17 09:03:26+00
244,104,,89.31,Temperature excursion detected during transit,"{""scan_velocity_kmh"":97.19,""gps_deviation_km"":76.11,""packaging_hash_similarity"":0.3,""time_since_last_event_hrs"":123.8}",prov-risk-v1.2.0,2025-11-29 11:11:07+00
245,247,187,78.77,Packaging hash does not match reference image,"{""supplier_risk_tier"":""low"",""label_print_delta_days"":17}",prov-risk-v2.0.1,2024-06-24 11:11:47+00
246,83,237,3.96,Origin country mismatch with declared manufacturer,"{""reseller_risk_score"":0.415,""time_since_last_event_hrs"":602.8}",prov-risk-v1.0.0,2025-08-05 02:18:07+00
247,84,47,84.23,Label print date precedes factory commission date,"{""time_since_last_event_hrs"":632.9,""custody_gap_count"":0,""gps_deviation_km"":76.54,""scan_velocity_kmh"":135.23}",prov-risk-v2.0.1,2024-07-01 15:47:51+00
248,167,84,4.21,Unit re-entered supply chain after terminal event,"{""checksum_valid"":true,""custody_gap_count"":1,""reseller_risk_score"":0.908,""supplier_risk_tier"":""high""}",,2026-04-10 18:35:11+00
249,257,49,,Serial number checksum mismatch,"{""packaging_hash_similarity"":0.154,""checksum_valid"":false,""supplier_risk_tier"":""low"",""scan_velocity_kmh"":212.0,""gps_deviation_km"":312.12}",prov-risk-v1.0.0,2025-03-29 12:58:29+00
250,292,44,21.76,Temperature excursion detected during transit,"{""checksum_valid"":false,""gps_deviation_km"":491.48}",prov-risk-v1.0.0,2024-11-29 20:02:41+00
251,90,176,75.92,Origin country mismatch with declared manufacturer,"{""scan_velocity_kmh"":393.3,""temp_excursion_c"":16.12,""reseller_risk_score"":0.789}",prov-risk-v1.1.2,2026-03-05 10:20:30+00
252,86,177,20.37,Temperature excursion detected during transit,"{""gps_deviation_km"":248.66,""scan_velocity_kmh"":389.63,""label_print_delta_days"":28,""supplier_risk_tier"":""low""}",,2026-07-26 12:07:57+00
253,33,26,78.66,Duplicate unit ID detected across regions,"{""packaging_hash_similarity"":0.772,""time_since_last_event_hrs"":357.3,""label_print_delta_days"":-14,""temp_excursion_c"":414.21}",prov-risk-v1.2.0,2024-03-22 23:39:34+00
254,239,85,82.52,RFID tag read at two distant locations simultaneously,"{""packaging_hash_similarity"":0.968,""supplier_risk_tier"":""medium"",""gps_deviation_km"":375.36,""scan_velocity_kmh"":423.74}",prov-risk-v1.1.2,2024-11-03 14:28:50+00
255,235,253,93.33,Serial number checksum mismatch,"{""reseller_risk_score"":0.228,""temp_excursion_c"":335.97,""packaging_hash_similarity"":0.792,""checksum_valid"":false,""scan_velocity_kmh"":396.47}",prov-risk-v1.0.0,2025-04-11 18:20:27+00
256,251,57,47.54,Cross-border movement without customs event,"{""label_print_delta_days"":-17,""time_since_last_event_hrs"":59.8,""temp_excursion_c"":196.94,""custody_gap_count"":3}",prov-risk-v2.0.1,2024-02-20 14:15:29+00
257,150,139,88.96,Cross-border movement without customs event,"{""gps_deviation_km"":187.82,""checksum_valid"":true,""scan_velocity_kmh"":194.83}",prov-risk-v1.2.0,2024-08-22 10:06:54+00
258,186,180,61.02,Certificate of authenticity signature invalid,"{""label_print_delta_days"":23,""temp_excursion_c"":484.13,""checksum_valid"":false,""reseller_risk_score"":0.527}",prov-risk-v1.0.0,2024-09-29 09:23:52+00
259,54,233,65.72,QR code resolution anomaly detected,"{""supplier_risk_tier"":""high"",""packaging_hash_similarity"":0.377}",,2025-01-28 13:14:47+00
260,214,,44.41,Packaging hash does not match reference image,"{""custody_gap_count"":3,""reseller_risk_score"":0.493,""scan_velocity_kmh"":345.79,""temp_excursion_c"":9.0}",,2024-07-03 22:39:42+00
261,286,160,89.11,Model version confidence below acceptance threshold,"{""scan_velocity_kmh"":476.49,""temp_excursion_c"":445.71,""label_print_delta_days"":-21,""gps_deviation_km"":93.83,""packaging_hash_similarity"":0.918}",prov-risk-v2.0.1,2024-03-13 12:04:16+00
262,201,144,24.17,Weight variance outside tolerance for declared SKU,"{""reseller_risk_score"":0.978,""supplier_risk_tier"":""high""}",prov-risk-v1.0.0,2025-08-14 01:32:54+00
